date,日期,客流
372,2023-01-07,16.490000000000002
373,2023-01-08,17.53
374,2023-01-09,15.87
375,2023-01-10,17.33
376,2023-01-11,19.48
377,2023-01-12,20.57
378,2023-01-13,16.96
379,2023-01-14,17.849999999999998
380,2023-01-15,18.5
381,2023-01-16,18.14
382,2023-01-17,18.62
383,2023-01-18,18.65
384,2023-01-19,17.99
385,2023-01-20,14.46
386,2023-01-21,10.92
387,2023-01-22,16.38
388,2023-01-23,18.39
389,2023-01-24,22.28
390,2023-01-25,27.62
391,2023-01-26,28.150000000000002
392,2023-01-27,25.66
393,2023-01-28,25.38
394,2023-01-29,24.75
395,2023-01-30,25.25
396,2023-01-31,25.55
397,2023-02-01,22.77
398,2023-02-02,23.1
399,2023-02-03,24.44
400,2023-02-04,27.07
401,2023-02-05,35.79
402,2023-02-06,21.53
403,2023-02-07,22.490000000000002
404,2023-02-08,21.9
405,2023-02-09,22.75
406,2023-02-10,22.49
407,2023-02-11,26.330000000000002
408,2023-02-12,24.61
409,2023-02-13,20.51
410,2023-02-14,21.48
411,2023-02-15,19.88
412,2023-02-16,21.03
413,2023-02-17,21.65
414,2023-02-18,25.46
415,2023-02-19,21.56
416,2023-02-20,17.53
417,2023-02-21,17.81
418,2023-02-22,19.59
419,2023-02-23,21.59
420,2023-02-24,22.99
421,2023-02-25,25.92
422,2023-02-26,26.98
423,2023-02-27,23.080000000000002
424,2023-02-28,21.4
425,2023-03-01,20.98
426,2023-03-02,21.349999999999998
427,2023-03-03,24.59
428,2023-03-04,30.62
429,2023-03-05,29.11
430,2023-03-06,23.88
431,2023-03-07,22.1
432,2023-03-08,25.24
433,2023-03-09,22.85
434,2023-03-10,23.79
435,2023-03-11,25.81
436,2023-03-12,23.51
437,2023-03-13,21.39
438,2023-03-14,21.36
439,2023-03-15,20.19
440,2023-03-16,20.82
441,2023-03-17,23.28
442,2023-03-18,32.0
443,2023-03-19,33.73
444,2023-03-20,25.08
445,2023-03-21,25.47
446,2023-03-22,21.21
447,2023-03-23,21.89
448,2023-03-24,23.419999999999998
449,2023-03-25,30.82
450,2023-03-26,31.41
451,2023-03-27,26.0
452,2023-03-28,26.93
453,2023-03-29,27.22
454,2023-03-30,27.8
455,2023-03-31,30.82
456,2023-04-01,43.0
457,2023-04-02,39.8
458,2023-04-03,24.6
459,2023-04-04,26.31
460,2023-04-05,41.78
461,2023-04-06,26.46
462,2023-04-07,23.13
463,2023-04-08,34.82
464,2023-04-09,37.47
465,2023-04-10,23.740000000000002
466,2023-04-11,21.81
467,2023-04-12,24.68
468,2023-04-13,26.990000000000002
469,2023-04-14,28.73
470,2023-04-15,38.66
471,2023-04-16,34.57
472,2023-04-17,27.99
473,2023-04-18,25.15
474,2023-04-19,27.64
475,2023-04-20,23.37
476,2023-04-21,25.89
477,2023-04-22,32.660000000000004
478,2023-04-23,28.24
479,2023-04-24,28.98
480,2023-04-25,23.94
481,2023-04-26,30.47
482,2023-04-27,30.580000000000002
483,2023-04-28,29.19
484,2023-04-29,48.43
485,2023-04-30,60.03
486,2023-05-01,111.21
487,2023-05-02,73.35000000000001
488,2023-05-03,50.72
489,2023-05-04,30.35
490,2023-05-05,32.77
491,2023-05-06,39.480000000000004
492,2023-05-07,47.01
493,2023-05-08,31.36
494,2023-05-09,31.23
495,2023-05-10,35.07
496,2023-05-11,36.19
497,2023-05-12,31.91
498,2023-05-13,43.39
499,2023-05-14,47.7
500,2023-05-15,30.93
501,2023-05-16,27.63
502,2023-05-17,36.18
503,2023-05-18,36.55
504,2023-05-19,36.59
505,2023-05-20,40.74
506,2023-05-21,36.21
507,2023-05-22,35.52
508,2023-05-23,36.32
509,2023-05-24,36.41
510,2023-05-25,30.05
511,2023-05-26,38.38
512,2023-05-27,48.52
513,2023-05-28,46.61
514,2023-05-29,35.35
515,2023-05-30,37.98
516,2023-05-31,35.95
517,2023-06-01,46.08
518,2023-06-02,35.73
519,2023-06-03,44.21
520,2023-06-04,47.47
521,2023-06-05,36.53
522,2023-06-06,38.26
523,2023-06-07,38.4
524,2023-06-08,39.31
525,2023-06-09,35.87
526,2023-06-10,49.68
527,2023-06-11,43.21
528,2023-06-12,38.87
529,2023-06-13,41.17
530,2023-06-14,40.94
531,2023-06-15,41.13
532,2023-06-16,42.52
533,2023-06-17,52.05
534,2023-06-18,48.52
535,2023-06-19,38.72
536,2023-06-20,31.27
537,2023-06-21,47.769999999999996
538,2023-06-22,81.73
539,2023-06-23,60.41
540,2023-06-24,46.86
541,2023-06-25,38.15
542,2023-06-26,37.48
543,2023-06-27,38.22
544,2023-06-28,38.7
545,2023-06-29,36.31
546,2023-06-30,43.410000000000004
547,2023-07-01,43.269999999999996
548,2023-07-02,45.230000000000004
549,2023-07-03,34.39
550,2023-07-04,36.9
551,2023-07-05,30.09
552,2023-07-06,33.23
553,2023-07-07,43.99
554,2023-07-08,47.43
555,2023-07-09,41.98
556,2023-07-10,35.36
557,2023-07-11,43.519999999999996
558,2023-07-12,45.61
559,2023-07-13,44.85
560,2023-07-14,27.71
561,2023-07-15,33.31
562,2023-07-16,38.76
563,2023-07-17,42.71
564,2023-07-18,48.92
565,2023-07-19,48.339999999999996
566,2023-07-20,48.52
567,2023-07-21,51.379999999999995
568,2023-07-22,44.19
569,2023-07-23,42.58
570,2023-07-24,47.36
571,2023-07-25,53.0
572,2023-07-26,51.6
573,2023-07-27,51.51
574,2023-07-28,51.15
575,2023-07-29,61.879999999999995
576,2023-07-30,61.1
577,2023-07-31,56.39
578,2023-08-01,52.37
579,2023-08-02,36.17
580,2023-08-03,42.78
581,2023-08-04,47.67
582,2023-08-05,49.66
583,2023-08-06,58.18
584,2023-08-07,45.15
585,2023-08-08,48.089999999999996
586,2023-08-09,49.76
587,2023-08-10,50.15
588,2023-08-11,44.11
589,2023-08-12,35.76
590,2023-08-13,44.21
591,2023-08-14,46.24
592,2023-08-15,48.93
593,2023-08-16,48.76
594,2023-08-17,48.0
595,2023-08-18,45.47
596,2023-08-19,60.62
597,2023-08-20,56.08
598,2023-08-21,37.6
599,2023-08-22,71.31
600,2023-08-23,49.589999999999996
601,2023-08-24,50.15
602,2023-08-25,50.92
603,2023-08-26,59.48
604,2023-08-27,58.66
605,2023-08-28,48.85
606,2023-08-29,33.24
607,2023-08-30,41.57
608,2023-08-31,43.8
609,2023-09-01,20.7
610,2023-09-02,0.0
611,2023-09-03,78.9
612,2023-09-04,40.22
613,2023-09-05,45.27
614,2023-09-06,45.56
615,2023-09-07,45.47
616,2023-09-08,46.26
617,2023-09-09,55.730000000000004
618,2023-09-10,53.94
619,2023-09-11,38.42
620,2023-09-12,43.910000000000004
621,2023-09-13,43.83
622,2023-09-14,42.67
623,2023-09-15,43.83
624,2023-09-16,53.01
625,2023-09-17,49.98
626,2023-09-18,33.87
627,2023-09-19,35.85
628,2023-09-20,39.32
629,2023-09-21,39.26
630,2023-09-22,38.54
631,2023-09-23,47.73
632,2023-09-24,43.68
633,2023-09-25,35.0
634,2023-09-26,37.57
635,2023-09-27,36.2
636,2023-09-28,38.88
637,2023-09-29,49.61
638,2023-09-30,62.72
639,2023-10-01,84.3
640,2023-10-02,81.87
641,2023-10-03,54.89
642,2023-10-04,51.93
643,2023-10-05,54.53
644,2023-10-06,43.14
645,2023-10-07,34.87
646,2023-10-08,34.99
647,2023-10-09,33.81
648,2023-10-10,34.31
649,2023-10-11,35.65
650,2023-10-12,35.26
651,2023-10-13,36.730000000000004
652,2023-10-14,45.94
653,2023-10-15,35.91
654,2023-10-16,29.38
655,2023-10-17,32.4
656,2023-10-18,31.63
657,2023-10-19,30.02
658,2023-10-20,29.95
659,2023-10-21,34.9
660,2023-10-22,35.74
661,2023-10-23,31.72
662,2023-10-24,32.45
663,2023-10-25,33.01
664,2023-10-26,29.99
665,2023-10-27,32.53
666,2023-10-28,38.67
667,2023-10-29,38.27
668,2023-10-30,30.18
669,2023-10-31,28.39
670,2023-11-01,29.03
671,2023-11-02,27.89
