日期,景点,省份,市,客流指数
2022-1-6,香炉山国家森林公园,黑龙江省,哈尔滨市,0.02
2022-1-7,斯大林公园,黑龙江省,哈尔滨市,2.29
2022-1-7,中华巴洛克,黑龙江省,哈尔滨市,1.98
2022-1-7,儿童公园,黑龙江省,哈尔滨市,1.42
2022-1-7,金龙山国际旅游度假区,黑龙江省,哈尔滨市,1.21
2022-1-7,哈尔滨市人民防洪胜利纪念塔,黑龙江省,哈尔滨市,1.14
2022-1-7,圣索菲亚教堂,黑龙江省,哈尔滨市,0.98
2022-1-7,龙塔,黑龙江省,哈尔滨市,0.76
2022-1-7,二龙山风景区,黑龙江省,哈尔滨市,0.71
2022-1-7,群力丁香公园,黑龙江省,哈尔滨市,0.57
2022-1-7,哈尔滨文化公园,黑龙江省,哈尔滨市,0.52
2022-1-7,黑龙江省博物馆,黑龙江省,哈尔滨市,0.5
2022-1-7,古梨园,黑龙江省,哈尔滨市,0.38
2022-1-7,侵华日军第七三一部队遗址,黑龙江省,哈尔滨市,0.36
2022-1-7,波塞冬旅游度假区,黑龙江省,哈尔滨市,0.34
2022-1-7,哈尔滨极地馆,黑龙江省,哈尔滨市,0.27
2022-1-7,东北虎林园,黑龙江省,哈尔滨市,0.26
2022-1-7,北方森林动物园,黑龙江省,哈尔滨市,0.19
2022-1-7,哈尔滨伏尔加庄园,黑龙江省,哈尔滨市,0.18
2022-1-7,萧红故居,黑龙江省,哈尔滨市,0.15
2022-1-7,香炉山国家森林公园,黑龙江省,哈尔滨市,0.01
2022-1-8,斯大林公园,黑龙江省,哈尔滨市,2.39
2022-1-8,中华巴洛克,黑龙江省,哈尔滨市,2.18
2022-1-8,儿童公园,黑龙江省,哈尔滨市,1.36
2022-1-8,金龙山国际旅游度假区,黑龙江省,哈尔滨市,1.23
2022-1-8,哈尔滨市人民防洪胜利纪念塔,黑龙江省,哈尔滨市,1.2
2022-1-8,圣索菲亚教堂,黑龙江省,哈尔滨市,0.99
2022-1-8,龙塔,黑龙江省,哈尔滨市,0.66
2022-1-8,二龙山风景区,黑龙江省,哈尔滨市,0.63
2022-1-8,哈尔滨文化公园,黑龙江省,哈尔滨市,0.57
2022-1-8,群力丁香公园,黑龙江省,哈尔滨市,0.51
2022-1-8,哈尔滨极地馆,黑龙江省,哈尔滨市,0.45
2022-1-8,黑龙江省博物馆,黑龙江省,哈尔滨市,0.43
2022-1-8,波塞冬旅游度假区,黑龙江省,哈尔滨市,0.36
2022-1-8,古梨园,黑龙江省,哈尔滨市,0.35
2022-1-8,侵华日军第七三一部队遗址,黑龙江省,哈尔滨市,0.31
2022-1-8,东北虎林园,黑龙江省,哈尔滨市,0.3
2022-1-8,哈尔滨伏尔加庄园,黑龙江省,哈尔滨市,0.26
2022-1-8,北方森林动物园,黑龙江省,哈尔滨市,0.17
2022-1-8,萧红故居,黑龙江省,哈尔滨市,0.16
2022-1-8,香炉山国家森林公园,黑龙江省,哈尔滨市,0.01
2022-1-9,斯大林公园,黑龙江省,哈尔滨市,2.69
2022-1-9,中华巴洛克,黑龙江省,哈尔滨市,2.02
2022-1-9,哈尔滨市人民防洪胜利纪念塔,黑龙江省,哈尔滨市,1.41
2022-1-9,儿童公园,黑龙江省,哈尔滨市,1.31
